P	locus_id	chr	cytoband	cytoband_name	mid	genome_pos	locus_grade	support_n	n_pairs_at_locus	nearest_gene	positive_genes	gene_a_genes	n_gene_a	best_mtag_score	pair_id
P2	unified_locus_000294	4	chr4:37.9-40.7Mb	4p14	39283418.5	651064609	B	4	2	FAM114A1	TLR1, TLR10	No Gene-A gene assigned	0	30.0235832685503	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000301	4	chr4:121.6-123.8Mb	4q27	122704155	734485345.5	B	3	1	ANXA5	TNIP3, QRFPR	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000310	5	chr5:35.2-36.5Mb	5p13.2	35871945	770978674.5	B	4	13	IL7R	IL7R, UGT3A1	No Gene-A gene assigned	0	23.7306340102874	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P2	unified_locus_000405	9	chr9:3.6-7.6Mb	9p24.1	5561139	1213492126	B	4	6	INSL6	IL33, TPD52L3	No Gene-A gene assigned	0	28.9316965230749	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA
P4	unified_locus_000437	1	chr1:166.7-168Mb	1q24.2	167338814	167338814	B	3	9	CD247	CD247	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000446	10	chr10:7.6-10.1Mb	10p14	8817328	1331786284.5	B	3	6	PRKCQ	PRKCQ	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000480	12	chr12:54.5-57.6Mb	12q13.2	56057818	1560609711	A	5	1	METTL7B	ITGA7, NACA	RBMS2, PRIM1	2	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000510	15	chr15:60.2-61.3Mb	15q22.2	60782211.5	1890740173.5	B	3	3	ICE2	ICE2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000512	15	chr15:65.7-68.2Mb	15q22.31	66993581.5	1896951543.5	A	5	2	ICE2	ICE2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000520	16	chr16:10.4-11.9Mb	16p13.13	11164392.5	1931572381.5	A	5	7	CLEC16A	CLEC16A, DEXI	CLEC16A	1	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000550	19	chr19:32.7-33.8Mb	19q13.11	33245077.5	2095465932	B	3	8	Not assigned	chr19:32.7-33.8Mb	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000576	2	chr2:241.2-242.3Mb	2q37.3	241769608.5	414934279	A	6	6	KIF1A	KIF1A	No Gene-A gene assigned	0	22.4126960878414	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000620	5	chr5:35.2-37.1Mb	5p13.2	36157644	771264373.5	A	6	13	UGT3A1	UGT3A1, IL7R	IL7R, UGT3A1, UGT3A2, CAPSL, SPEF2	5	22.5869279486119	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000638	6	chr6:89.6-90.8Mb	6q15	90204109	967690065	B	3	6	ANKRD6	ANKRD6, RRAGD	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P4	unified_locus_000665	9	chr9:4.6-7.3Mb	9p24.1	5955544.5	1213886531.5	B	4	6	IL33	IL33, TPD52L3	No Gene-A gene assigned	0	31.8777002809552	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG
P1	unified_locus_000698	1	chr1:172.2-173.7Mb	1q25.1	172953440	172953440	A	5	1	TNFSF4	TNFSF4	TNFSF4	1	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000749	11	chr11:75.4-77.2Mb	11q13.5	76306014.5	1461970168	B	3	6	LRRC32	TSKU, ACER3	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000779	12	chr12:110.8-113.1Mb	12q24.12	111931538.5	1616483431.5	B	3	2	PLA2G1B	PLA2G1B	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000812	15	chr15:40.5-42Mb	15q15.1	41233057	1871191019	A	5	1	CHAC1	EXD1, INO80	INO80, CHAC1, EXD1	3	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000815	15	chr15:60-61.4Mb	15q22.2	60692401	1890650363	A	5	3	ICE2	ICE2	ICE2	1	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000821	15	chr15:89.8-91.6Mb	15q26.1	90717062	1920675024	B	3	1	ARPIN	ARPIN, C15orf38-AP3S2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000826	16	chr16:10.4-11.9Mb	16p13.13	11171614.5	1931579603.5	A	5	7	CLEC16A	CLEC16A, DEXI	CLEC16A	1	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000848	17	chr17:38.9-41.2Mb	17q21.2	40071986.5	2030149194.5	B	3	3	JUP	ATP6V0A1, HSD17B1	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000880	19	chr19:32.7-33.8Mb	19q13.11	33249249	2095470103.5	B	3	8	Not assigned	chr19:32.7-33.8Mb	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000887	2	chr2:7.8-9Mb	2p25.1	8408376	181573046.5	A	5	3	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000929	2	chr2:241.1-243.2Mb	2q37.3	242128679	415293349.5	A	5	6	SNED1	KIF1A, SNED1	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000943	20	chr20:53.1-54.7Mb	20q13.2	53860577	2166502966.5	B	3	1	CNBD2	CNBD2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000975	3	chr3:140.8-142.1Mb	3q23	141467587	556620621.5	B	3	1	RNF7	LOC646730, RNF7	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000978	3	chr3:186-189.5Mb	3q27.3	187719872.5	602872907	B	3	5	LPP	LPP	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000987	4	chr4:37.9-40.5Mb	4p14	39176494.5	650957685	B	4	2	FAM114A1	TLR6, FAM114A1	No Gene-A gene assigned	0	39.4315875512251	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_000996	4	chr4:120.6-123.9Mb	4q27	122252832.5	734034023	B	3	3	QRFPR	ANXA5, QRFPR	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_001007	5	chr5:35.2-36.7Mb	5p13.2	35945310.5	771052040	B	3	13	CAPSL	UGT3A1, IL7R	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P1	unified_locus_001099	8	chr8:127.3-129.3Mb	8q24.21	128276552.5	1217239709.5	B	3	1	Not assigned	chr8:127.3-129.3Mb	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS
P5	unified_locus_001170	1	chr1:166.1-168.2Mb	1q24.1	167104655	167104655	A	5	9	CD247	CD247	CD247	1	Not available	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE
P5	unified_locus_001249	11	chr11:75.4-77.2Mb	11q13.5	76328534.5	1461992688	B	3	6	LRRC32	ACER3, TSKU	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE
P5	unified_locus_001460	2	chr2:7.7-9Mb	2p25.1	8372764.5	181537435	A	5	3	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE
P5	unified_locus_001528	2	chr2:241.2-243.2Mb	2q37.3	242211527.5	415376198	A	6	6	KIF1A	KIF1A	No Gene-A gene assigned	0	29.0927793874973	ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE
P8	unified_locus_002414	4	chr4:99.6-103.8Mb	4q24	101682165.5	713463356	B	3	1	TNIP3	TNIP3	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN
P8	unified_locus_002439	5	chr5:35.3-36.5Mb	5p13.2	35924336	771031065.5	B	4	13	CAPSL	UGT3A1, IL7R	No Gene-A gene assigned	0	21.4858860638786	ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN
P9	unified_locus_002656	11	chr11:75.4-77.1Mb	11q13.5	76267792.5	1461931946	B	3	6	TSKU	TSKU, ACER3	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__K11_CD_STRICT2
P10	unified_locus_002873	11	chr11:118.2-119.8Mb	11q23.3	119016813.5	1504680967	B	2	4	CCDC84	CCDC84	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC
P10	unified_locus_002886	12	chr12:110.8-113.1Mb	12q24.12	111940355.5	1616492248.5	B	2	2	MSI1	MSI1	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC
P10	unified_locus_002911	15	chr15:66.6-68.2Mb	15q22.33	67443668.5	1897401630.5	A	4	2	ICE2	ICE2	C15orf61	1	Not available	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC
P11	unified_locus_003194	11	chr11:75.4-77.2Mb	11q13.5	76305757.5	1461969911	B	3	6	TSKU	TSKU, ACER3	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__K11_IBD_STRICT
P3	unified_locus_003613	1	chr1:166.7-168Mb	1q24.2	167349007.5	167349007.5	B	3	9	CD247	CD247	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003671	11	chr11:127.8-129.3Mb	11q24.3	128520333	1514184486.5	B	3	1	CCDC84	CCDC84	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003733	15	chr15:59.3-61.3Mb	15q22.2	60336573	1890294535	B	3	1	ICE2	ICE2	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003768	17	chr17:39.2-41.2Mb	17q21.2	40234033.5	2030311241.5	B	3	3	ATP6V0A1	ATP6V0A1, NAGLU	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003798	19	chr19:31.6-35.7Mb	19q13.11	33644047.5	2095864902	B	3	2	TDRD12	TDRD12	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003845	2	chr2:241-242.5Mb	2q37.3	241722742	414887412.5	B	4	6	KIF1A	KIF1A	No Gene-A gene assigned	0	24.8065483997988	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003902	3	chr3:187.2-189.6Mb	3q28	188408518.5	603561553	B	3	5	LPP	LPP	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003915	4	chr4:120.6-123.9Mb	4q27	122237492.5	734018683	B	3	3	QRFPR	TNIP3, QRFPR	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003928	5	chr5:35.1-37.2Mb	5p13.2	36188675	771295404.5	B	4	13	UGT3A1	UGT3A1, CAPSL	No Gene-A gene assigned	0	26.6902296051239	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P3	unified_locus_003937	5	chr5:109.6-111.9Mb	5q22.1	110758015.5	845864745	B	4	5	CAMK4	NREP, CAMK4	No Gene-A gene assigned	0	26.9310568050332	ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC
P6	unified_locus_004072	1	chr1:166.7-168.2Mb	1q24.2	167454192.5	167454192.5	B	3	9	CD247	CD247	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P6	unified_locus_004131	11	chr11:75.4-77.3Mb	11q13.5	76357232.5	1462021386	B	3	6	LRRC32	TSKU, ACER3	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P6	unified_locus_004228	17	chr17:38.3-41.2Mb	17q21.2	39749230	2029826438	B	3	3	GAST	ATP6V0A1, HSD17B1	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P6	unified_locus_004262	19	chr19:31.6-33.9Mb	19q13.11	32759246.5	2094980101	A	5	8	TDRD12	TDRD12	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P6	unified_locus_004309	2	chr2:241.2-243.2Mb	2q37.3	242211632	415376302.5	A	6	6	KIF1A	KIF1A	No Gene-A gene assigned	0	23.4515790458085	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P6	unified_locus_004391	4	chr4:120.6-123.9Mb	4q27	122237492.5	734018683	B	3	3	QRFPR	QRFPR, TNIP3	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P6	unified_locus_004402	5	chr5:35.1-36.7Mb	5p13.2	35858268	770964997.5	B	4	13	IL7R	UGT3A1, CAPSL	No Gene-A gene assigned	0	26.9727619224636	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA
P13	unified_locus_004549	1	chr1:166.7-168.2Mb	1q24.2	167454192.5	167454192.5	A	5	9	CD247	CD247	CD247	1	Not available	ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA
P12	unified_locus_004957	12	chr12:54.2-55.4Mb	12q13.13	54829060.5	1559380953.5	A	4	1	METTL7B	METTL7B	No Gene-A gene assigned	0	Not available	ALLERGIC_RHINITIS_GCST90038664__RHEUMA_SEROPOS_WIDE
P16	unified_locus_005223	1	chr1:166.9-168Mb	1q24.2	167452305.5	167452305.5	A	5	9	CD247	CD247	CD247	1	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005239	10	chr10:7.5-10.1Mb	10p14	8814174.5	1331783131	B	4	6	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	24.2672434234927	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005243	10	chr10:62.1-63.5Mb	10q21.2	62813499	1385782455.5	B	3	2	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005266	11	chr11:118.2-119.4Mb	11q23.3	118772958.5	1504437112	B	2	4	GAL3ST3	GAL3ST3	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005307	16	chr16:10.4-11.9Mb	16p13.13	11162965.5	1931570954.5	A	5	7	CLEC16A	CLEC16A, CIITA	CLEC16A, CIITA, DEXI	3	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005308	16	chr16:26.2-28.3Mb	16p12.1	27250144	1947658133	B	3	3	NSMCE1	IL4R, NSMCE1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005345	19	chr19:32.7-33.9Mb	19q13.11	33315650	2095536504.5	B	3	8	ADCK4	ADCK4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005362	2	chr2:110.6-111.8Mb	2q13	111185494.5	284350165	B	3	3	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005390	22	chr22:36.4-37.6Mb	22q12.3	37004833	2287056734	B	3	2	Not assigned	chr22:36.4-37.6Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005418	3	chr3:187.4-189.3Mb	3q28	188333631.5	603486666	B	3	5	LPP	LPP	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005436	5	chr5:35.3-36.5Mb	5p13.2	35916758.5	771023488	B	3	13	IL7R	UGT3A1, IL7R	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005442	5	chr5:109.6-112.3Mb	5q22.1	110936285	846043014.5	A	6	5	NREP	NREP	WDR36, CAMK4, NREP	3	42.6015917593095	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005444	5	chr5:128.5-133.5Mb	5q31.1	130984007.5	866090737	B	3	5	RAPGEF6	HSPA4, CCNI2	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005463	6	chr6:89.1-91.1Mb	6q15	90092454	967578410	A	6	6	RRAGD	RRAGD, ANKRD6	ANKRD6	1	22.4086007834854	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P16	unified_locus_005498	9	chr9:3.6-7.7Mb	9p24.1	5644196	1213575183	A	6	6	IL33	TPD52L3, IL33	IL33, GLDC, UHRF2	3	47.4931076738639	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA
P14	unified_locus_005526	1	chr1:150.1-151.7Mb	1q21.3	150903372.5	150903372.5	B	3	2	FAM63A	PRUNE, CTSK	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005529	1	chr1:166.9-168Mb	1q24.2	167452305.5	167452305.5	A	5	9	CD247	CD247	CD247	1	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005533	1	chr1:198.1-199.3Mb	1q31.3	198692070.5	198692070.5	A	5	2	CD247	CD247	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005543	10	chr10:7.5-10.1Mb	10p14	8815346.5	1331784303	B	4	6	IL2RA	IL2RA	No Gene-A gene assigned	0	33.1630033345775	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005547	10	chr10:60.4-63.5Mb	10q21.2	61945011	1384913967.5	B	3	1	RHOBTB1	RHOBTB1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005558	11	chr11:61.3-62.4Mb	11q12.3	61823010.5	1447487164	A	5	6	GAL3ST3	GAL3ST3	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005571	12	chr12:55.5-57.6Mb	12q13.2	56555612	1561107505	A	5	3	ITGA7	ITGA7, METTL7B	NACA, SPRYD4	2	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005586	13	chr13:98.7-101Mb	13q32.3	99829601.5	1727595135.5	B	3	2	SLC15A1	STK24, SLC15A1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005608	16	chr16:10.2-11.9Mb	16p13.13	11071758	1931479747	B	3	7	DEXI	CLEC16A, DEXI	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005609	16	chr16:26.2-28.4Mb	16p12.1	27269475	1947677464	B	3	3	IL4R	IL4R	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005616	17	chr17:3.4-5.2Mb	17p13.2	4313764.5	1994390972.5	A	5	1	ARRB2	CXCL16, ARRB2	ARRB2, PSMB6, VMO1, PLD2, GLTPD2, ZMYND15	6	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005633	19	chr19:32.7-33.9Mb	19q13.11	33321421	2095542275.5	B	3	8	ADCK4	ADCK4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005644	2	chr2:71.3-72.5Mb	2p13.2	71927112	245091782.5	A	5	2	MAP4K4	MAP4K4	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005647	2	chr2:101.6-103.3Mb	2q11.2	102461674	275626344.5	B	4	1	MAP4K4	MAP4K4	No Gene-A gene assigned	0	19.4462864161617	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005648	2	chr2:110.6-112Mb	2q13	111264121	284428791.5	A	5	3	LIMS3L	LIMS3L	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005669	21	chr21:34.6-35.9Mb	21q22.11	35232342.5	2182462307.5	A	5	1	Not assigned	chr21:34.6-35.9Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005684	3	chr3:70.9-72.3Mb	3p13	71592801	486745835.5	A	5	2	FOXP1	FOXP1	FOXP1	1	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005702	5	chr5:35.3-37.1Mb	5p13.2	36218965.5	771325695	B	3	13	UGT3A1	UGT3A1	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005705	5	chr5:109.6-112.7Mb	5q22.1	111174023	846280752.5	A	6	5	NREP	NREP	WDR36, CAMK4, NREP	3	54.4235505849078	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005707	5	chr5:129.7-134.6Mb	5q31.1	132176982.5	867283712	B	4	2	SHROOM1	AFF4, CCNI2	No Gene-A gene assigned	0	26.8115537185971	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005724	6	chr6:89.6-90.8Mb	6q15	90204109	967690065	A	5	6	ANKRD6	ANKRD6, RRAGD	ANKRD6	1	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005746	8	chr8:118.1-119.7Mb	8q24.11	118881813.5	1207844970.5	A	5	1	EXT1	EXT1	EXT1	1	Not available	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P14	unified_locus_005749	9	chr9:5.1-7.4Mb	9p24.1	6244254.5	1214175241.5	B	4	6	IL33	TPD52L3, IL33	No Gene-A gene assigned	0	55.9557018994373	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG
P24	unified_locus_005794	1	chr1:206-207.4Mb	1q32.1	206674124.5	206674124.5	B	2	1	Not assigned	chr1:206-207.4Mb	No Gene-A gene assigned	0	Not available	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID
