trait_id	trait_label	phenotype_code_or_accession	disease_group	phenotype_module	source_database	consortium_or_biobank	ancestry	sample_size	case_count	control_count	genome_build	effect_scale	ldsc_h2	ldsc_h2_se	ldsc_h2_z	ldsc_mean_chi2	ldsc_intercept	ldsc_power_class	trait_level_h2_qc_decision	appears_in_final_31_pairs	n_final_downstream_pairs	external_metadata_source	notes
J10_BRONCHNAS	Unspecified chronic bronchitis	J10_BRONCHNAS	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	410564	1494	409070	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0007	0.0009	0.7777777777777778	1.0087	0.999	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
H8_EUSTNAS	Other disorders of Eustachian tube	H8_EUSTNAS	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	466183	1029	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0008	0.0009	0.888888888888889	1.008	1.001	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
G6_MYASTHENIA	Myasthenia gravis	G6_MYASTHENIA	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	496227	560	495667	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0011	0.0008	1.375	1.0159	1.0019	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
H8_CHRON_SUPOTITIS	Chronic suppurative otitis media	H8_CHRON_SUPOTITIS	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	467902	2748	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0016	0.0011	1.4545454545454546	1.0446	1.0233	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
ABPA	Allergic bronchopulmonary aspergillosis (ABPA)	ABPA	non-nasal comparator trait	M1_allergic_type2_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	180180	123	180057	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0033	0.0018	1.8333333333333335	0.9741	0.9609	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
J10_PULMEOS	Pulmonary eosinophilia, not elsewhere classified	J10_PULMEOS	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	493715	414	493301	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0013	0.0007	1.857142857142857	1.0175	1.0003	low_h2_z_lt2	comparator_flagged_low_h2_power_not_used_for_current_interpretable_LDSC_rg	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims. This comparator is retained in the source table but flagged as low LDSC h2 power and not used for current interpretable LDSC rg claims.
L12_LUPUS	Lupus erythematosus	L12_LUPUS	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	466523	850	465673	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0019	0.0009	2.111111111111111	1.025	1.002	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
CHIRBIL_PRIM	Primary biliary cholangitis (PBC)	CHIRBIL_PRIM	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	373033	760	372273	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0024	0.0011	2.1818181818181817	1.0513	1.0269	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_BRONCHIECTASIS	Bronchiectasis	J10_BRONCHIECTASIS	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	412002	2932	409070	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.002	0.0009	2.2222222222222223	1.0352	1.0144	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
K11_COELIAC	Coeliac disease	K11_COELIAC	non-nasal comparator trait	M3_autoimmune_reference_panel	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	483319	5130	478189	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.01	0.0038	2.6315789473684212	1.1896	1.0839	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
IPF	Idiopathic pulmonary fibrosis	IPF	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	497283	2700	494583	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0035	0.0013	2.6923076923076925	1.0902	1.0524	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_EUSTSALP	Eustachian salpingitis and obstruction	H8_EUSTSALP	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	468500	3346	465154	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0027	0.001	2.7	1.0582	1.0271	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
ILD_ENDPOINTS	Interstitial lung disease endpoints	ILD_ENDPOINTS	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	500348	5765	494583	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0037	0.0012	3.083333333333334	1.0949	1.0533	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_EXT_INFNAS	Other infective otitis externa	H8_EXT_INFNAS	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	487529	2237	485292	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0025	0.0008	3.125	1.0348	1.0068	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_EXTOTITIS	Otitis externa	H8_EXTOTITIS	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	494763	9471	485292	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0029	0.0009	3.222222222222222	1.0814	1.0407	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
H8_EXT_OTH	Other otitis externa (chronic)	H8_EXT_OTH	non-nasal comparator trait	M5_ear_mucosal_inflammation	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	487692	2400	485292	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0024	0.0007	3.4285714285714284	1.0326	1.0027	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	False	0	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
J10_BRONCHITIS	Acute bronchitis	J10_BRONCHITIS	non-nasal comparator trait	M2_representative_lung_axis	FinnGen R12 existing phase0 / local harmonized FinnGen input	FinnGen R12	Finnish/European ancestry FinnGen endpoint	492568	20762	471806	FinnGen source summary statistics are GRCh38; local LDSC/locus analyses used harmonized hg19/GRCh37-compatible resources where required	Binary endpoint effect estimate, beta on log(OR) scale in FinnGen REGENIE summary statistics; LDSC used harmonized SNP/A1/A2/Z	0.0032	0.0009	3.555555555555556	1.0877	1.0469	borderline_2_to4	comparator_retained_in_current_formal_LDSC_pair_universe_after_h2_QC	True	1	Supplementary Table 8 local audit; FinnGen public documentation R10/R12-compatible summary statistics format	One of 57 non-nasal comparator traits in the LDSC h2 power-audit universe from Supplementary Table 8. Rows are retained here regardless of h2 power class for transparent source/QC reporting; low_h2_z_lt2 rows are flagged and not used for current interpretable LDSC rg claims.
