P	pair_id	pair_name	exposure	outcome	direction	LCV_gcp	LCV_gcp_se	LCV_gcp_p	LCV_status	MR_IVW_beta	MR_IVW_se	MR_IVW_p	MR_IVW_OR	MR_IVW_OR_lci95	MR_IVW_OR_uci95	MR_status	MR_Egger_beta	MR_Egger_se	MR_Egger_p	MR_Egger_OR	MR_Egger_OR_lci95	MR_Egger_OR_uci95	weighted_median_beta	weighted_median_se	weighted_median_p	weighted_median_OR	weighted_median_OR_lci95	weighted_median_OR_uci95	MR_PRESSO_beta	MR_PRESSO_se	MR_PRESSO_p	MR_PRESSO_OR	MR_PRESSO_OR_lci95	MR_PRESSO_OR_uci95	n_instruments_raw	n_instruments_after_strength_filter	n_instruments_after_clump	n_instruments_after_harmonise	n_palindromic_removed	egger_intercept	egger_p	heterogeneity_q	heterogeneity_p	mr_presso_global_p	n_outlier	sensitivity_status	mr_presso_analysis	interpretation_note
P6	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	Allergic rhinitis – Dermatitis and eczema	ALLERGIC_RHINITIS_GCST90038664	L12_DERMATITISECZEMA	ALLERGIC_RHINITIS_GCST90038664_to_L12_DERMATITISECZEMA	-0.0907939938228531	0.0931113138832982	0.371934137169954	success	4.87833988853414	0.314063267327344	2.07493599708313e-54	131.412323596209	71.0068168619472	243.20480139998	eligible	4.78531670204011	0.976534426385587	3.98141780961189e-05	119.73927875342	17.6601241705199	811.856968725216	4.83201837161825	0.314063267327344	2.04808846155956e-53	125.46393811943	67.7926897038905	232.196123758942	4.45296394953251	0.564496328565677	7.44805952519292e-08	85.881114430934	28.4046011833827	259.660953106923	6312	6312	35	29	5	-0.00148473313628349	0.720108269813591	244.150965006884	2.31002960759592e-36	5e-04	6	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P6	ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	Allergic rhinitis – Dermatitis and eczema	L12_DERMATITISECZEMA	ALLERGIC_RHINITIS_GCST90038664	L12_DERMATITISECZEMA_to_ALLERGIC_RHINITIS_GCST90038664	-0.0907939938228531	0.0931113138832982	0.371934137169954	success	0.0196234189268733	0.00142986018805069	7.29159313940526e-43	1.01981722384131	1.01696316074927	1.02267929673787	eligible	0.0199103399243765	0.00339666752532749	3.58716919699927e-07	1.020109872798	1.01334108011865	1.02692387883663	0.0148953894476077	0.00142986018805069	2.06576543547943e-25	1.01500687863147	1.01216627778385	1.01785545150242	0.0162205996260678	0.00243221189534287	2.59875523477993e-08	1.01635286774049	1.01151930636666	1.02120952636556	8978	8978	65	52	10	-7.19952682603464e-05	0.698276944103012	269.72890386064	1.61551556586761e-31	5e-04	4	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P7	ALLERGIC_RHINITIS_GCST90038664__J10_BRONCHITIS	Allergic rhinitis – Bronchitis	ALLERGIC_RHINITIS_GCST90038664	J10_BRONCHITIS	ALLERGIC_RHINITIS_GCST90038664_to_J10_BRONCHITIS	0.566458961655158	0.257978227613385	0.03504641232455	success	2.23491055683413	0.535471298981105	2.99657935269701e-05	9.34564591065526	3.27195220326977	26.693879391045	eligible	2.33759654348858	0.698769746410216	0.00242559256629198	10.3563156722533	2.63269448443368	40.7389748174406	1.89226700266403	0.535471298981105	0.000409577303598165	6.63439182980232	2.32273008975521	18.9497501864224	2.23491055683413	0.665217477888692	0.00226601334386494	9.34564591065521	2.5372588368144	34.423408530525	6312	6312	35	29	5	0.00162179779479129	0.58497630121503	43.2128528139638	0.033190880043556	0.036	0	eligible	Raw	LCV: trait1_to_trait2;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P7	ALLERGIC_RHINITIS_GCST90038664__J10_BRONCHITIS	Allergic rhinitis – Bronchitis	J10_BRONCHITIS	ALLERGIC_RHINITIS_GCST90038664	J10_BRONCHITIS_to_ALLERGIC_RHINITIS_GCST90038664	0.566458961655158	0.257978227613385	0.03504641232455	success	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	insufficient_instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	3	3	2	2	0	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	Not estimable: insufficient instruments	insufficient_instruments	Not estimable: insufficient instruments	LCV: trait1_to_trait2;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P8	ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN	Allergic rhinitis – Chronic tonsil and adenoid disease	ALLERGIC_RHINITIS_GCST90038664	J10_CHRONTONSADEN	ALLERGIC_RHINITIS_GCST90038664_to_J10_CHRONTONSADEN	0.223531422532094	0.115764091023539	0.0648827187024695	success	1.83654507748402	0.342824049959116	8.45650998276561e-08	6.27482174525714	3.20467262338	12.2862434207786	eligible	1.77663575428195	0.623650821380039	0.00829596451284962	5.90994044442595	1.74068748998314	20.0652881448582	2.10915015150848	0.342824049959116	7.63760284605998e-10	8.24123450698465	4.20895758948862	16.1365242474126	2.17166917060132	0.406248446957528	1.73644211292609e-05	8.77291531863205	3.95674696649274	19.4513431967347	6312	6312	35	29	5	-0.000943615944493057	0.721497080120612	83.3958613802303	2.06097459332284e-07	5e-04	4	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P8	ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN	Allergic rhinitis – Chronic tonsil and adenoid disease	J10_CHRONTONSADEN	ALLERGIC_RHINITIS_GCST90038664	J10_CHRONTONSADEN_to_ALLERGIC_RHINITIS_GCST90038664	0.223531422532094	0.115764091023539	0.0648827187024695	success	6.21768818176299e-06	0.00136601778934242	0.996368290140396	1.00000621770751	0.997332387240393	1.00268721666676	eligible	0.000243269396139381	0.00248286599493375	0.92227534067904	1.00024329898854	0.995387522344781	1.00512276345868	0.00311780381164813	0.00136601778934242	0.0224655276791087	1.0031226692171	1.00044050593879	1.00581202332765	0.00298845299113002	0.00191202716528797	0.123692216937416	1.00299292286833	0.99924116780605	1.00675876428584	6275	6275	78	62	9	-0.000128183495345	0.330018137033215	199.501410960235	1.29814985749974e-16	5e-04	5	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P9	ALLERGIC_RHINITIS_GCST90038664__K11_CD_STRICT2	Allergic rhinitis – Cd	ALLERGIC_RHINITIS_GCST90038664	K11_CD_STRICT2	ALLERGIC_RHINITIS_GCST90038664_to_K11_CD_STRICT2	-0.331500671388289	0.197250831555117	0.166498993072965	success	2.05783969398368	1.51157148243967	0.173390183436048	7.82903840962157	0.404606450447779	151.490027782542	eligible	2.43607868421932	2.82705062263569	0.396439539523191	11.4281394207453	0.0448271840771158	2913.4636339262	-0.19041348305935	1.51157148243967	0.899755240694795	0.826617271032834	0.0427197648564852	15.9948472344187	-0.267409493399787	2.09528237100313	0.899467141313172	0.765359597583338	0.0125986836769437	46.4949615875294	6312	6312	35	29	5	0.00600808691718445	0.617124428873092	88.6669540600526	3.19818623682098e-08	5e-04	3	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P9	ALLERGIC_RHINITIS_GCST90038664__K11_CD_STRICT2	Allergic rhinitis – Cd	K11_CD_STRICT2	ALLERGIC_RHINITIS_GCST90038664	K11_CD_STRICT2_to_ALLERGIC_RHINITIS_GCST90038664	-0.331500671388289	0.197250831555117	0.166498993072965	success	0.00323185659663276	0.000820381915698772	8.16673506764534e-05	1.00323708467578	1.00162522729455	1.00485153592561	eligible	0.00343069654051928	0.00352317334204492	0.358699166770341	1.00343658811537	0.996531306654745	1.01038971846116	0.00405708335445498	0.000820381915698772	7.6003540680175e-07	1.00406532445831	1.00245213638024	1.00568110854637	0.00349593401473158	0.0013140341363141	0.0375010381060899	1.00350205191924	1.00092085083058	1.00608990947734	3199	3199	12	10	1	-0.000165489156786867	0.836890475712938	137.931791677508	2.75640923715831e-25	5e-04	3	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
P10	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC	Allergic rhinitis – Coeliac	ALLERGIC_RHINITIS_GCST90038664	K11_COELIAC	ALLERGIC_RHINITIS_GCST90038664_to_K11_COELIAC	-0.370088471364327	0.110047615327264	3.95638444394509e-10	success	12.9907879256198	1.07096488711118	7.32629316208733e-34	438356.561536278	53728.3861447733	3576442.3395137	eligible	11.3255350708798	5.09650832614177	0.034838076748322	82911.998965091	3.80523881054306	1806561930.70999	6.82977251662183	1.07096488711118	1.80338122581564e-10	924.98037088447	113.372781210447	7546.68516893303	9.59843280135747	2.0750211864133	0.000130878379516123	14741.6603424576	252.494956936539	860676.792475523	6312	6312	35	29	5	-0.0271134873228282	0.215878934505887	604.751258599301	1.41833402467127e-109	5e-04	6	eligible	Outlier-corrected	LCV: trait2_to_trait1;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P10	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC	Allergic rhinitis – Coeliac	K11_COELIAC	ALLERGIC_RHINITIS_GCST90038664	K11_COELIAC_to_ALLERGIC_RHINITIS_GCST90038664	-0.370088471364327	0.110047615327264	3.95638444394509e-10	success	0.000311944471569915	0.000319815580760794	0.329367536335202	1.00031199313131	0.999685155507212	1.00093922380456	eligible	0.000392080551259859	0.000784523990571889	0.622976307004966	1.00039215742489	0.998855069463419	1.00193161073391	4.06307580416157e-05	0.000319815580760794	0.898905307918163	1.00004063158348	0.999413964005962	1.00066769210353	7.59338481400083e-05	0.000632672074388321	0.90605943345452	1.00007593673119	0.998836573887879	1.00131683738388	39425	39425	28	21	2	-0.000119362685066032	0.732806702239306	105.052945545841	1.55365606478186e-13	5e-04	5	eligible	Outlier-corrected	LCV: trait2_to_trait1;moderate_partial_causality; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P11	ALLERGIC_RHINITIS_GCST90038664__K11_IBD_STRICT	Allergic rhinitis – Ibd	ALLERGIC_RHINITIS_GCST90038664	K11_IBD_STRICT	ALLERGIC_RHINITIS_GCST90038664_to_K11_IBD_STRICT	-0.132807012463422	0.284529933424736	0.845795317901681	success	3.49640270728229	0.729168184015415	1.62628913189217e-06	32.9965399933228	7.90292596811886	137.768170412219	eligible	3.92159875798173	2.10365975959111	0.0732040917495641	50.4810873382282	0.817442781412023	3117.45389010337	1.48540755180709	0.729168184015415	0.0416374052363696	4.41676510662014	1.0578493279372	18.441013754858	2.50929325703668	1.12497218442053	0.0373255062403507	12.29623671012	1.35574046752941	111.523880014316	6312	6312	35	29	5	0.00678987878334495	0.448979178978686	213.748618173062	1.66667706430427e-30	5e-04	8	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P11	ALLERGIC_RHINITIS_GCST90038664__K11_IBD_STRICT	Allergic rhinitis – Ibd	K11_IBD_STRICT	ALLERGIC_RHINITIS_GCST90038664	K11_IBD_STRICT_to_ALLERGIC_RHINITIS_GCST90038664	-0.132807012463422	0.284529933424736	0.845795317901681	success	0.00117201990480342	0.000614449865861572	0.0564649703390649	1.00117270698853	0.999967698689413	1.00237916737955	eligible	0.00114374901131469	0.00148379894414401	0.444170457627218	1.00114440334165	0.998237058890273	1.00406021537264	0.0016515543680944	0.000614449865861572	0.00719118369718222	1.00165291893513	1.00044733265443	1.00285995800422	0.00176873378153204	0.000976681762704765	0.0761565352458707	1.00177029891376	0.999854448120334	1.00368982072577	9626	9626	73	56	12	7.39939720945131e-05	0.683956881662823	315.191010476538	3.56501611029047e-38	5e-04	5	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P12	ALLERGIC_RHINITIS_GCST90038664__RHEUMA_SEROPOS_WIDE	Allergic rhinitis – Rheuma Seropos	ALLERGIC_RHINITIS_GCST90038664	RHEUMA_SEROPOS_WIDE	ALLERGIC_RHINITIS_GCST90038664_to_RHEUMA_SEROPOS_WIDE	-0.0242577021108298	0.599037341601164	0.372433407678145	success	4.80539733907626	0.708031774652717	1.1450524834671e-11	122.168023508226	30.497815581107	489.380163251836	eligible	4.58175458174826	2.73278955574057	0.105166294618932	97.685641372965	0.460928222578737	20702.7560106009	2.87758652800749	0.708031774652717	4.81963799338442e-05	17.7713307712206	4.43640449380803	71.1883232966989	2.83164760277082	1.28554512452165	0.038924607788135	16.9734032254159	1.36612622089783	210.885650714777	6312	6312	35	29	5	-0.00358843056666065	0.756819484911809	376.056578528441	1.38645461156843e-62	5e-04	7	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P12	ALLERGIC_RHINITIS_GCST90038664__RHEUMA_SEROPOS_WIDE	Allergic rhinitis – Rheuma Seropos	RHEUMA_SEROPOS_WIDE	ALLERGIC_RHINITIS_GCST90038664	RHEUMA_SEROPOS_WIDE_to_ALLERGIC_RHINITIS_GCST90038664	-0.0242577021108298	0.599037341601164	0.372433407678145	success	-0.000833024924206368	0.000516364711033521	0.106690392094063	0.999167321944732	0.998156601392301	1.00017906593981	eligible	-0.000675250903424294	0.00129213084337761	0.604861160416054	0.999324977027161	0.996797312224632	1.00185905144705	0.00340229583715661	0.000516364711033521	4.42979257057719e-11	1.00340809021517	1.00239307985907	1.00442412835772	0.000318355325536554	0.00131683226522431	0.810794102590453	1.00031840600597	0.997739921916827	1.00290355373566	22788	22788	40	34	4	-0.000338095653986239	0.18089256511355	210.403528940527	1.01403056079177e-27	5e-04	6	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2. Exploratory directional evidence only; evidence grades unchanged.
P13	ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA	Allergic rhinitis – Rheuma	ALLERGIC_RHINITIS_GCST90038664	M13_RHEUMA	ALLERGIC_RHINITIS_GCST90038664_to_M13_RHEUMA	-0.0196469289805867	0.592807764308202	0.502927862585683	success	3.92402695168488	0.621526101251116	2.72732159675839e-10	50.6038141385521	14.9668206318424	171.094854970137	eligible	3.58647577509509	2.25868082865242	0.123960523706052	36.106603646118	0.431478045577475	3021.44417362663	2.24087699873948	0.621526101251116	0.000311620755571497	9.40157284052897	2.78065313369725	31.7873419034636	2.06535752179724	1.17052217848799	0.0937229288453043	7.88811756754773	0.795435156000792	78.2243508978037	6312	6312	35	29	5	-0.00537998005666857	0.575147882471702	335.795384369978	1.77430242114861e-54	5e-04	9	eligible	Outlier-corrected	LCV: undetermined;shared_genetics_only; MR: nominal IVW P<0.05 in trait1_to_trait2, trait2_to_trait1. Exploratory directional evidence only; evidence grades unchanged.
